track_porto, 15, 4, racecar2, porto_track, 1
track_porto, 15, 4, porto_track, racecar2, 1
track_porto, 15, 4, racecar2, porto_track, 2
track_porto, 15, 4, porto_track, racecar2, 3
track_porto, 15, 4, porto_track, racecar2, 1
track_porto, 15, 4, racecar2, porto_track, 1
track_porto, 15, 4, porto_track, racecar2, 1
track_porto, 15, 4, racecar2, porto_track, 2
track_porto, 15, 4, racecar2, floating_box4, 3
track_porto, 15, 4, racecar2, porto_track, 1
track_porto, 15, 4, racecar2, porto_track, 2
track_porto, 15, 4, porto_track, racecar2, 3
track_porto, 15, 4, racecar2, porto_track, 1
track_porto, 15, 4, racecar2, porto_track, 2
track_porto, 15, 4, racecar2, porto_track, 3
track_porto, 15, 4, racecar2, porto_track, 4
track_porto, 15, 4, porto_track, racecar2, 5
track_porto, 15, 4, racecar2, porto_track, 6
track_porto, 15, 4, porto_track, racecar2, 7
track_porto, 15, 4, racecar2, porto_track, 8
track_porto, 15, 4, racecar2, porto_track, 1
track_porto, 15, 4, porto_track, racecar2, 1
track_porto, 15, 4, porto_track, racecar2, 2
